index,Name,Partei,Bildungsgrad,Abschluss,Vormalige Ämter,Beruf
97,"Dobrindt, Alexander",Union,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Privatwirtschaft/Management
98,"Donth, Michael",Union,Duales Studium,Abitur,Kommunales Führungsamt,Politik
99,Dr. Achim Kessler,Die Linke,Masterabschluss,Abitur,Keine Daten,Keine Daten
100,Dr. Alexander S. Neu,Die Linke,Masterabschluss,Mittlere Reife,Keine Daten,Keine Daten
101,Dr. André Hahn,Die Linke,Berufsausbildung,Mittlere Reife,Keine Daten,Keine Daten
102,"Dr. Brunner, Karl-Heinz",SPD,Promotion,Abitur,Kommunales Führungsamt,Rechtsanwalt/Kanzlei
103,Dr. Diether Dehm,Die Linke,Staatsexamen,Keine Daten,Keine Daten,Keine Daten
104,Dr. Gregor Gysi,Die Linke,Masterabschluss,Keine Daten,Keine Daten,Keine Daten
105,Dr. Kirsten Tackmann,Die Linke,Duales Studium,Keine Daten,Keine Daten,Keine Daten
106,Dr. Matthias Bartke,SPD,Promotion,Abitur,Parteiamt auf Bundes- oder Landesebene,Politik
107,Dr. Petra Sitte,Die Linke,Staatsexamen,Abitur,Keine Daten,Keine Daten
108,"Droese, Siegbert",AfD,Berufsausbildung,Mittlere Reife,Führungsposition auf Landesebene,Unternehmer
109,"Dröge, Katharina",Die Grünen,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Politik
110,"Durz, Hansjörg",Union,Masterabschluss,Abitur,Kommunales Führungsamt,Unternehmer
111,"Dörner, Katja",Die Grünen,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Politik
112,"Dött, Marie-Luise",Union,Berufsausbildung,Abitur,Parteiamt auf Bundes- oder Landesebene,Unternehmer
113,"Dürr, Christian",FDP,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Politik
114,"Ebbing, Hartmut",FDP,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Steuerberatung und Wirtschaftsprüfung
115,"Ebner, Harald",Die Grünen,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Ingenieurwesen und Bau
116,"Ehrhorn, Thomas",AfD,Bachelorabschluss,Abitur,Führungsposition auf Landesebene,Ingenieurwesen und Bau
117,"Elsner von Gronow, Berenger",AfD,Bachelorabschluss,Abitur,Kommunales Führungsamt,Unternehmer
118,"Erndl, Thomas",Union,Duales Studium,Mittlere Reife,Kommunale Räte,Privatwirtschaft/Management
119,Esdar,SPD,Promotion,Abitur,Kommunales Führungsamt,Wissenschaft
120,Esken,SPD,Promotion,Abitur,Kommunales Führungsamt,Ingenieurwesen und Bau
121,"Espendiller, Michael",AfD,Promotion,Abitur,Parteiamt auf Bundes- oder Landesebene,Akademische Lehre
122,Eva-Maria Schreiber,Die Linke,Berufsausbildung,Mittlere Reife,Keine Daten,Keine Daten
123,"Faber, Marcus",FDP,Promotion,Abitur,Parteiamt auf Bundes- oder Landesebene,Wissenschaft
124,Fahimi,SPD,Bachelorabschluss,Keine Daten,Kommunales Führungsamt,Gewerkschaft
125,Fechner,SPD,Promotion,Abitur,Kommunales Führungsamt,Rechtsanwalt/Kanzlei
126,"Feiler, Uwe",Union,Duales Studium,Abitur,Kommunale Räte,Verwaltung
127,Felgentreu,SPD,Promotion,Abitur,Kommunales Führungsamt,Wissenschaft
128,"Felser, Peter",AfD,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Unternehmer
129,"Ferlemann, Enak",Union,Bachelorabschluss,Abitur,Kommunale Räte,Privatwirtschaft/Management
130,"Fischer, Axel E.",Union,Masterabschluss,Mittlere Reife,Parteiamt auf Bundes- oder Landesebene,Akademische Lehre
131,"Flachsbarth, Maria",Union,Promotion,Abitur,Kein politisches Amt,PR/Werbung
132,Franke,SPD,Staatsexamen,Abitur,Führungsposition auf Landesebene,Akademische Lehre
133,Freese,SPD,Berufsausbildung,Keine Daten,Führungsposition auf Landesebene,NGO/Vereinstätigkeit
134,"Frei, Thorsten",Union,Staatsexamen,Abitur,Parteiamt auf Bundes- oder Landesebene,Politik
135,Freitag,SPD,Staatsexamen,Abitur,Kommunales Führungsamt,Lehrer
136,"Fricke, Otto",FDP,Staatsexamen,Abitur,Parteiamt auf Bundes- oder Landesebene,Rechtsanwalt/Kanzlei
137,"Friedhoff, Dietmar",AfD,Masterabschluss,Abitur,Kommunales Führungsamt,Privatwirtschaft/Management
138,Friedrich Straetmanns,Die Linke,Masterabschluss,Keine Daten,Keine Daten,Keine Daten
139,"Friedrich, Hans-Peter",Union,Promotion,Abitur,Kein politisches Amt,Politik
140,"Friesen, Anton",AfD,Promotion,Abitur,Führungsposition auf Landesebene,Politik
141,"Frieser, Michael",Union,Staatsexamen,Abitur,Kommunale Räte,Privatwirtschaft/Management
142,"Frohnmeier, Markus",AfD,Bachelorabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Politik
143,"Frömming, Götz",AfD,Promotion,Abitur,Führungsposition auf Landesebene,Lehrer
144,"Fuchtel, Hans-Joachim",Union,Staatsexamen,Abitur,Parteiamt auf Bundes- oder Landesebene,Politik
145,"Färber, Hermann",Union,Berufsausbildung,Hauptschulabschluss,Kommunale Räte,Landwirtschaft
146,"Föst, Daniel",FDP,Bachelorabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Unternehmer
147,Gabriel,SPD,Staatsexamen,Abitur,Führungsposition auf Landesebene,Lehrer
148,"Gastel, Matthias",Die Grünen,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Politik
149,"Gauland, Alexander",AfD,Promotion,Abitur,Parteiamt auf Bundes- oder Landesebene,Politik
150,"Gebhart, Thomas",Union,Promotion,Abitur,Landtag,Politik
151,"Gehring, Kai",Die Grünen,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Politik
152,"Gehrke, Axel (Prof.Dr.)",AfD,Promotion,Abitur,Kein politisches Amt,Unternehmer
153,"Gelbhaar, Stefan",Die Grünen,Staatsexamen,Abitur,Parteiamt auf Bundes- oder Landesebene,Rechtsanwalt/Kanzlei
154,Gerdes,SPD,Berufsausbildung,Mittlere Reife,Kommunale Räte,Handwerk
155,"Gerig, Alois",Union,Berufsausbildung,Hauptschulabschluss,Kommunale Räte,Landwirtschaft
156,Gerster,SPD,Promotion,Abitur,Kommunales Führungsamt,Journalismus
157,"Gienger, Eberhard",Union,Masterabschluss,Abitur,Kein politisches Amt,Privatwirtschaft/Management
158,"Glaser, Albrecht",AfD,Staatsexamen,Abitur,Parteiamt auf Bundes- oder Landesebene,Privatwirtschaft/Management
159,Glöckner,SPD,Masterabschluss,Abitur,Kommunales Führungsamt,Service
160,"Gminder, Franziska",AfD,Masterabschluss,Abitur,Kommunales Führungsamt,Immobilien
161,"Gnodtke, Eckhard",Union,Staatsexamen,Abitur,Kommunale Räte,Verwaltung
162,"Gottberg, Wilhelm von",AfD,Staatsexamen,Abitur,Kommunales Führungsamt,Landwirtschaft
163,"Gottschalk, Kay",AfD,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Privatwirtschaft/Management
164,Gremmels,SPD,Masterabschluss,Abitur,Landtag,Politik
165,Griese,SPD,Masterabschluss,Abitur,Landtag,NGO/Vereinstätigkeit
166,"Groden-Kranich, Ursula",Union,Berufsausbildung,Abitur,Kommunale Räte,Bankwesen
167,"Grosse-Brömer, Michael",Union,Staatsexamen,Abitur,Kein politisches Amt,Rechtsanwalt/Kanzlei
168,"Grotelüschen, Astrid",Union,Masterabschluss,Abitur,Kommunale Räte,Privatwirtschaft/Management
169,Groß,SPD,Masterabschluss,Abitur,Kommunale Räte,Soziale Arbeit und Kinderbetreuung
